,id,filename,width,height,depth,name,xmin,xmax,ymin,ymax
15180,15180,n02106166_8068,283,320,3,border_collie,4,257,35,316
4009,4009,n02091134_10690,500,329,3,whippet,95,180,145,281
15485,15485,n02106550_8595,500,375,3,rottweiler,128,453,28,374
16206,16206,n02107683_1752,500,333,3,bernese_mountain_dog,0,474,49,266
16525,16525,n02107908_5964,333,500,3,appenzeller,0,316,76,498
15976,15976,n02107312_7408,335,500,3,miniature_pinscher,35,267,73,498
3936,3936,n02091032_12144,333,500,3,italian_greyhound,18,331,17,451
13285,13285,n02102480_4134,540,487,3,sussex_spaniel,69,453,1,452
15629,15629,n02106662_7313,250,286,3,german_shepherd,21,216,14,271
19324,19324,n02111277_6616,477,500,3,newfoundland,62,465,190,498
14160,14160,n02105162_7112,500,333,3,malinois,124,483,39,314
199,199,n02085782_1750,500,375,3,japanese_spaniel,91,483,55,346
6284,6284,n02093991_4819,500,333,3,irish_terrier,84,365,35,332
2818,2818,n02088632_834,200,215,3,bluetick,29,180,24,214
6786,6786,n02094433_3480,745,768,3,yorkshire_terrier,50,698,42,717
116,116,n02085620_4673,500,375,3,chihuahua,85,300,78,373
10265,10265,n02099429_814,400,300,3,curly-coated_retriever,97,399,39,299
10154,10154,n02099429_1966,321,240,3,curly-coated_retriever,2,313,1,239
3237,3237,n02090379_2114,500,375,3,redbone,2,498,22,305
1961,1961,n02088094_357,368,500,3,afghan_hound,96,280,82,476
20983,20983,n02113624_4045,500,375,3,toy_poodle,101,374,54,294
4813,4813,n02091831_11498,500,375,3,saluki,292,499,93,218
16509,16509,n02107908_4964,333,500,3,appenzeller,31,331,103,498
6732,6732,n02094433_2105,500,375,3,yorkshire_terrier,50,498,78,373
21733,21733,n02115913_1047,500,323,3,dhole,196,312,113,231
13701,13701,n02104029_766,500,325,3,kuvasz,11,295,162,274
11317,11317,n02097047_1539,237,360,3,miniature_schnauzer,12,212,25,353
17477,17477,n02109525_10992,443,500,3,saint_bernard,15,301,50,253
9313,9313,n02097658_6014,375,500,3,silky_terrier,15,350,2,481
1822,1822,n02088094_1259,500,375,3,afghan_hound,26,412,17,371
1946,1946,n02088094_3059,371,500,3,afghan_hound,18,354,71,477
4719,4719,n02091635_2766,280,219,3,otterhound,6,262,34,185
19348,19348,n02111500_265,375,500,3,great_pyrenees,97,373,100,482
13302,13302,n02102480_4640,630,390,3,sussex_spaniel,223,550,101,344
4703,4703,n02091244_5774,500,375,3,ibizan_hound,155,315,79,374
12578,12578,n02101388_990,500,375,3,brittany_spaniel,123,358,87,281
20418,20418,n02112706_1418,305,227,3,brabancon_griffon,22,269,43,206
818,818,n02086240_3050,500,374,3,shih-tzu,55,417,14,366
4485,4485,n02091467_4024,500,333,3,norwegian_elkhound,130,389,24,332
14835,14835,n02105855_7224,465,500,3,shetland_sheepdog,25,447,32,498
2889,2889,n02089078_2294,500,376,3,black-and-tan_coonhound,2,490,83,348
6468,6468,n02094114_3378,200,200,3,norfolk_terrier,18,199,39,171
18191,18191,n02110185_8216,434,500,3,siberian_husky,22,418,17,498
16460,16460,n02107908_2963,500,375,3,appenzeller,189,312,88,288
17079,17079,n02108551_5547,395,400,3,tibetan_mastiff,39,348,58,372
10364,10364,n02099601_5453,500,375,3,golden_retriever,107,413,70,374
17667,17667,n02109961_17082,500,333,3,eskimo_dog,149,298,39,295
5437,5437,n02093256_11569,500,333,3,staffordshire_bullterrier,127,311,135,276
21351,21351,n02113799_5486,500,472,3,standard_poodle,144,446,43,274
9859,9859,n02098413_3428,500,333,3,lhasa,112,405,25,295
15573,15573,n02106662_23996,333,500,3,german_shepherd,93,331,65,497
7660,7660,n02096051_3500,300,250,3,airedale,10,272,21,239
15733,15733,n02106662_9292,333,500,3,german_shepherd,6,331,82,498
10018,10018,n02099267_3272,500,398,3,flat-coated_retriever,56,377,87,308
3665,3665,n02090721_5914,375,500,3,irish_wolfhound,5,292,73,418
10733,10733,n02099849_410,500,342,3,chesapeake_bay_retriever,183,231,189,257
9935,9935,n02098413_1471,500,338,3,lhasa,7,494,1,337
14581,14581,n02105641_277,500,499,3,old_english_sheepdog,32,442,81,496
13546,13546,n02102973_634,170,240,3,irish_water_spaniel,13,167,2,226
20301,20301,n02112350_7955,500,333,3,keeshond,128,426,12,332
21709,21709,n02115641_8746,360,270,3,dingo,116,330,65,235
123,123,n02085620_4919,240,206,3,chihuahua,10,180,22,205
9966,9966,n02099267_1274,333,500,3,flat-coated_retriever,151,290,136,455
19759,19759,n02111889_464,500,353,3,samoyed,177,274,100,289
4106,4106,n02091134_18140,500,385,3,whippet,43,303,69,339
1089,1089,n02086646_3,480,360,3,blenheim_spaniel,258,416,126,300
12631,12631,n02101556_3899,500,375,3,clumber,21,499,2,374
12867,12867,n02102040_5283,500,421,3,english_springer,17,457,30,408
2668,2668,n02088632_1108,500,375,3,bluetick,1,490,81,374
16775,16775,n02108000_320,337,449,3,entlebucher,37,316,138,447
8435,8435,n02096585_237,500,375,3,boston_bull,205,384,205,367
15602,15602,n02106662_3953,640,480,3,german_shepherd,156,470,32,478
9335,9335,n02097658_727,375,500,3,silky_terrier,95,243,155,360
17264,17264,n02108915_7608,500,432,3,french_bulldog,34,385,34,387
9978,9978,n02099267_1862,640,480,3,flat-coated_retriever,7,620,7,465
20285,20285,n02112350_7368,500,293,3,keeshond,10,220,17,254
11363,11363,n02097047_2596,334,500,3,miniature_schnauzer,55,252,142,390
20195,20195,n02112137_9156,600,450,3,chow,76,497,1,448
7237,7237,n02095570_4237,500,375,3,lakeland_terrier,177,279,58,287
6509,6509,n02094258_112,500,375,3,norwich_terrier,137,499,35,331
20469,20469,n02112706_2169,328,480,3,brabancon_griffon,15,294,16,454
49,49,n02085620_2517,500,375,3,chihuahua,125,372,26,314
12263,12263,n02101006_1126,200,150,3,gordon_setter,20,161,32,145
16441,16441,n02107908_2357,404,500,3,appenzeller,67,376,55,477
9332,9332,n02097658_6784,375,500,3,silky_terrier,51,291,51,441
12294,12294,n02101006_1888,500,375,3,gordon_setter,34,432,4,374
14885,14885,n02106030_14999,500,440,3,collie,36,448,61,438
3113,3113,n02089973_3147,480,640,3,english_foxhound,24,305,20,198
18981,18981,n02111129_4467,333,500,3,leonberg,131,331,240,462
19970,19970,n02112018_7157,382,500,3,pomeranian,46,318,41,446
1026,1026,n02086646_2114,500,375,3,blenheim_spaniel,138,414,104,374
9364,9364,n02097658_7893,500,334,3,silky_terrier,20,328,3,333
10504,10504,n02099712_5338,331,500,3,labrador_retriever,58,254,117,467
19608,19608,n02111889_17827,500,357,3,samoyed,70,429,75,312
14707,14707,n02105855_12631,500,369,3,shetland_sheepdog,202,400,37,287
14567,14567,n02105641_1815,500,334,3,old_english_sheepdog,26,487,51,321
8539,8539,n02097047_1093,500,375,3,miniature_schnauzer,146,317,133,366
2123,2123,n02087394_9272,500,334,3,rhodesian_ridgeback,143,278,64,315
3,3,n02085620_1073,345,500,3,chihuahua,0,312,27,498
14621,14621,n02105641_5776,500,327,3,old_english_sheepdog,133,416,46,298
5933,5933,n02093859_1003,2400,1800,3,kerry_blue_terrier,508,1864,612,1561
20197,20197,n02112137_9212,500,421,3,chow,103,498,2,419
9981,9981,n02099267_1922,500,375,3,flat-coated_retriever,17,407,20,373
1311,1311,n02086910_2466,392,500,3,papillon,12,385,41,492
17755,17755,n02109961_6119,989,879,3,eskimo_dog,131,881,26,795
15599,15599,n02106662_3431,500,375,3,german_shepherd,0,462,16,351
19977,19977,n02112018_7880,361,500,3,pomeranian,45,275,109,481
788,788,n02086240_1205,338,500,3,shih-tzu,20,336,91,493
11766,11766,n02105412_7504,202,254,3,kelpie,24,149,13,240
19950,19950,n02112018_13581,500,375,3,pomeranian,153,367,69,374
18134,18134,n02110185_1532,481,500,3,siberian_husky,122,214,214,325
3288,3288,n02090379_433,375,500,3,redbone,51,373,70,498
2559,2559,n02088466_7604,500,374,3,bloodhound,75,159,84,219
3778,3778,n02091032_1030,375,500,3,italian_greyhound,103,367,200,430
2052,2052,n02088094_907,355,500,3,afghan_hound,23,352,16,498
16059,16059,n02107574_2276,375,500,3,greater_swiss_mountain_dog,0,265,185,411
17902,17902,n02110063_1581,500,333,3,malamute,172,499,17,332
19981,19981,n02112018_8351,333,500,3,pomeranian,110,245,130,385
6150,6150,n02093991_130,221,170,3,irish_terrier,11,218,0,168
5716,5716,n02093428_5662,500,333,3,american_staffordshire_terrier,279,468,25,326
20826,20826,n02113186_4589,500,333,3,cardigan,48,425,87,317
11437,11437,n02097047_6936,500,333,3,miniature_schnauzer,159,499,1,332
18802,18802,n02110958_13042,500,358,3,pug,240,453,105,261
15129,15129,n02106166_6415,500,304,3,border_collie,42,258,80,253
10870,10870,n02100236_3504,500,375,3,german_short-haired_pointer,160,434,140,262
428,428,n02085936_3698,480,360,3,maltese_dog,148,479,1,359
9226,9226,n02097474_410,500,375,3,tibetan_terrier,124,382,0,336
12937,12937,n02102177_108,500,469,3,welsh_springer_spaniel,17,491,25,467
1734,1734,n02087394_6993,400,207,3,rhodesian_ridgeback,0,399,7,195
19910,19910,n02112018_5738,375,500,3,pomeranian,56,332,5,486
19901,19901,n02112018_541,500,488,3,pomeranian,20,498,2,486
18405,18405,n02110806_2349,472,500,3,basenji,27,236,235,498
11355,11355,n02097047_2472,333,500,3,miniature_schnauzer,0,274,22,498
6554,6554,n02094258_262,364,600,3,norwich_terrier,25,317,12,571
6108,6108,n02093859_1139,500,333,3,kerry_blue_terrier,171,317,32,321
6106,6106,n02093754_7117,500,375,3,border_terrier,1,446,42,374
11884,11884,n02108422_3985,324,220,3,bull_mastiff,149,323,49,219
9214,9214,n02097298_344,500,375,3,scotch_terrier,265,499,87,374
175,175,n02085782_126,437,382,3,japanese_spaniel,43,388,27,346
3520,3520,n02090721_1268,500,333,3,irish_wolfhound,55,499,53,332
7055,7055,n02095570_1461,500,375,3,lakeland_terrier,152,306,48,321
12773,12773,n02102040_2099,383,500,3,english_springer,58,280,52,466
8178,8178,n02096437_2470,560,432,3,dandie_dinmont,80,504,40,373
18588,18588,n02110806_3638,364,500,3,basenji,138,327,22,498
10089,10089,n02099267_5745,500,375,3,flat-coated_retriever,53,396,9,374
11002,11002,n02089867_2010,241,273,3,walker_hound,21,210,69,231
2,2,n02085620_10621,500,298,3,chihuahua,142,335,43,250
20854,20854,n02113186_6547,500,375,3,cardigan,1,341,16,281
5547,5547,n02093256_567,500,375,3,staffordshire_bullterrier,156,356,50,371
11049,11049,n02089867_3108,325,261,3,walker_hound,0,306,13,260
15302,15302,n02106382_4602,300,413,3,bouvier_des_flandres,2,257,11,411
9608,9608,n02098286_1591,500,375,3,west_highland_white_terrier,84,349,55,331
12135,12135,n02100877_237,350,219,3,irish_setter,6,142,106,198
4571,4571,n02091467_6508,367,500,3,norwegian_elkhound,102,346,85,387
17964,17964,n02110063_12292,500,333,3,malamute,0,475,99,243
21470,21470,n02113978_2572,499,470,3,mexican_hairless,15,497,18,468
5617,5617,n02093428_1291,360,256,3,american_staffordshire_terrier,19,318,36,255
11358,11358,n02097047_2511,373,500,3,miniature_schnauzer,47,344,6,496
21145,21145,n02113712_3207,500,375,3,miniature_poodle,139,422,89,374
19888,19888,n02112018_4936,205,143,3,pomeranian,4,197,21,126
4685,4685,n02091635_220,400,442,3,otterhound,55,334,35,409
21090,21090,n02113712_1590,500,461,3,miniature_poodle,66,430,61,417
19099,19099,n02111129_774,500,333,3,leonberg,223,357,70,249
16661,16661,n02108000_2635,300,229,3,entlebucher,131,239,58,213
14252,14252,n02105251_6366,500,375,3,briard,105,307,178,370
733,733,n02086079_606,400,324,3,pekinese,25,389,23,319
17240,17240,n02108915_5367,500,375,3,french_bulldog,92,315,53,331
12610,12610,n02101556_2715,347,500,3,clumber,132,324,78,323
15630,15630,n02106662_7545,214,300,3,german_shepherd,95,204,15,229
10802,10802,n02099849_927,219,250,3,chesapeake_bay_retriever,48,179,36,226
21790,21790,n02115913_250,500,375,3,dhole,2,377,82,276
18174,18174,n02110185_3328,500,500,3,siberian_husky,0,432,7,498
4808,4808,n02091831_11021,375,500,3,saluki,76,310,213,456
4735,4735,n02091635_3466,160,120,3,otterhound,9,155,23,111
15671,15671,n02107142_14636,500,464,3,doberman,193,464,80,429
20662,20662,n02113023_6341,500,375,3,pembroke,180,411,77,357
15002,15002,n02106030_7221,375,500,3,collie,0,338,76,398
16482,16482,n02107908_406,500,333,3,appenzeller,168,428,0,292
9018,9018,n02097298_998,500,375,3,scotch_terrier,98,411,22,374
5744,5744,n02093256_1854,200,200,3,staffordshire_bullterrier,51,169,10,198
9596,9596,n02098286_1254,500,499,3,west_highland_white_terrier,30,357,46,497
15443,15443,n02106550_4910,500,375,3,rottweiler,46,499,26,373
15743,15743,n02107312_2487,500,333,3,miniature_pinscher,43,485,27,332
12990,12990,n02102177_2524,500,427,3,welsh_springer_spaniel,148,418,41,418
18086,18086,n02110185_5392,271,299,3,siberian_husky,9,239,0,298
13103,13103,n02102318_10795,500,500,3,cocker_spaniel,1,498,1,496
310,310,n02085782_2323,200,150,3,japanese_spaniel,13,185,24,131
15783,15783,n02107142_7238,360,296,3,doberman,13,273,37,263
20960,20960,n02113624_3093,500,406,3,toy_poodle,141,489,25,401
18686,18686,n02110958_13995,332,500,3,pug,27,330,96,498
11402,11402,n02097047_4929,500,333,3,miniature_schnauzer,78,383,60,319
6542,6542,n02094258_1996,500,370,3,norwich_terrier,160,350,22,199
8645,8645,n02097130_6116,500,375,3,giant_schnauzer,39,309,1,374
9220,9220,n02097298_8322,500,375,3,scotch_terrier,28,368,0,374
4404,4404,n02091244_2742,300,297,3,ibizan_hound,14,294,7,290
17857,17857,n02110063_17138,500,482,3,malamute,157,331,43,405
19540,19540,n02111889_10059,269,279,3,samoyed,18,224,10,260
10481,10481,n02099712_4403,300,400,3,labrador_retriever,26,294,0,379
9266,9266,n02097658_129,500,375,3,silky_terrier,83,463,25,365
19243,19243,n02111277_7130,500,375,3,newfoundland,38,351,148,343
10176,10176,n02099429_248,375,500,3,curly-coated_retriever,123,263,190,378
14225,14225,n02105251_5065,332,500,3,briard,1,160,137,460
21405,21405,n02113978_1189,279,500,3,mexican_hairless,58,218,6,496
22056,22056,n02116738_634,500,333,3,african_hunting_dog,110,474,13,332
18591,18591,n02110806_3702,500,375,3,basenji,175,393,46,327
14638,14638,n02105641_6735,500,333,3,old_english_sheepdog,3,499,0,310
9722,9722,n02098286_5794,449,428,3,west_highland_white_terrier,0,435,21,426
8422,8422,n02096585_6238,364,500,3,boston_bull,50,280,143,378
2146,2146,n02088238_657,479,479,3,basset,17,304,14,450
13171,13171,n02102318_234,500,333,3,cocker_spaniel,116,441,25,332
5636,5636,n02093428_16386,320,240,3,american_staffordshire_terrier,106,316,2,216
19056,19056,n02111129_2741,600,512,3,leonberg,134,525,6,505
17238,17238,n02108915_5319,500,433,3,french_bulldog,36,490,30,400
3735,3735,n02090721_2474,301,348,3,irish_wolfhound,72,271,53,342
3060,3060,n02089973_2249,500,256,3,english_foxhound,20,154,11,185
6829,6829,n02094433_4214,463,500,3,yorkshire_terrier,80,335,10,406
16882,16882,n02108089_268,500,421,3,boxer,168,307,103,267
19095,19095,n02111129_716,600,450,3,leonberg,0,598,14,448
7338,7338,n02095889_3926,250,209,3,sealyham_terrier,37,177,65,190
16253,16253,n02107683_4347,398,500,3,bernese_mountain_dog,70,369,137,450
13715,13715,n02104365_10252,500,375,3,schipperke,105,330,10,312
8158,8158,n02096177_4902,500,375,3,cairn,108,289,97,306
20169,20169,n02112137_1704,375,500,3,chow,0,373,0,498
9626,9626,n02098286_2413,500,375,3,west_highland_white_terrier,72,332,36,333
10037,10037,n02099267_3768,500,500,3,flat-coated_retriever,266,450,25,485
4612,4612,n02091467_7405,500,445,3,norwegian_elkhound,69,428,26,431
15827,15827,n02107312_2203,333,500,3,miniature_pinscher,0,312,65,498
13474,13474,n02102973_2904,300,360,3,irish_water_spaniel,0,231,18,359
17321,17321,n02109047_1876,500,333,3,great_dane,252,499,1,318
9430,9430,n02098105_1155,500,375,3,soft-coated_wheaten_terrier,0,499,0,374
4374,4374,n02091244_1938,321,500,3,ibizan_hound,0,319,86,471
15915,15915,n02107312_6706,333,500,3,miniature_pinscher,87,275,61,481
21294,21294,n02113799_3054,500,375,3,standard_poodle,22,493,0,374
10643,10643,n02099849_1326,500,402,3,chesapeake_bay_retriever,42,241,35,294
19586,19586,n02111889_15376,333,500,3,samoyed,17,317,41,450
2086,2086,n02088238_10358,500,375,3,basset,83,367,25,269
21855,21855,n02115913_4055,500,334,3,dhole,172,357,99,314
10768,10768,n02099849_541,500,333,3,chesapeake_bay_retriever,188,499,11,332
19310,19310,n02111129_3461,332,500,3,leonberg,55,151,345,431
17886,17886,n02110063_6391,200,291,3,malamute,25,180,7,290
17373,17373,n02109047_2859,587,800,3,great_dane,188,476,190,720
19279,19279,n02111277_5577,268,208,3,newfoundland,18,267,6,197
16333,16333,n02107683_2567,500,375,3,bernese_mountain_dog,11,499,0,374
1892,1892,n02088094_3949,500,343,3,afghan_hound,282,475,162,330
17762,17762,n02109525_1314,403,500,3,saint_bernard,1,397,18,498
13941,13941,n02105056_3908,500,375,3,groenendael,107,369,39,373
11235,11235,n02093647_79,500,360,3,bedlington_terrier,60,371,15,359
18788,18788,n02110958_12589,400,300,3,pug,85,244,51,298
6614,6614,n02094258_50,500,333,3,norwich_terrier,93,315,32,315
19668,19668,n02111889_5474,500,375,3,samoyed,138,490,54,373
13732,13732,n02104365_1325,1284,1926,3,schipperke,101,965,154,1916
16444,16444,n02107908_24,500,375,3,appenzeller,0,407,4,374
3559,3559,n02090721_175,375,500,3,irish_wolfhound,35,178,195,356
19113,19113,n02111277_1023,344,456,3,newfoundland,84,286,32,420
2558,2558,n02088466_7502,500,408,3,bloodhound,0,464,26,377
14363,14363,n02105505_1406,200,200,3,komondor,1,194,17,185
3019,3019,n02089973_1357,248,150,3,english_foxhound,10,114,68,140
21457,21457,n02113978_2261,216,172,3,mexican_hairless,57,137,29,156
18783,18783,n02110958_12260,500,375,3,pug,79,467,18,373
11706,11706,n02105412_5156,500,333,3,kelpie,42,201,121,288
14821,14821,n02105855_4302,250,198,3,shetland_sheepdog,3,246,2,197
14148,14148,n02105162_6547,375,500,3,malinois,63,256,37,475
16683,16683,n02108000_3074,450,298,3,entlebucher,48,449,55,275
15969,15969,n02107312_6029,332,333,3,miniature_pinscher,81,235,64,302
18786,18786,n02110958_12432,307,226,3,pug,66,199,50,171
6745,6745,n02094433_2401,283,360,3,yorkshire_terrier,30,279,14,337
3480,3480,n02090622_8380,500,256,3,borzoi,4,322,16,235
13721,13721,n02104365_10514,500,333,3,schipperke,0,336,34,332
10320,10320,n02099601_2980,360,289,3,golden_retriever,0,326,76,288
11979,11979,n02100735_3567,240,194,3,english_setter,163,230,92,151
4294,4294,n02091244_3438,500,362,3,ibizan_hound,25,338,100,326
19502,19502,n02111500_8867,500,375,3,great_pyrenees,106,331,15,350
18098,18098,n02110185_6105,500,333,3,siberian_husky,121,242,85,293
5728,5728,n02093428_6949,500,334,3,american_staffordshire_terrier,186,208,54,95
20488,20488,n02112706_286,333,500,3,brabancon_griffon,63,316,122,486
20511,20511,n02112706_600,375,500,3,brabancon_griffon,78,200,146,303
326,326,n02085782_2715,480,600,3,japanese_spaniel,62,432,77,539
6025,6025,n02093859_3376,480,364,3,kerry_blue_terrier,29,451,0,362
20954,20954,n02113624_2905,375,500,3,toy_poodle,35,335,16,498
3346,3346,n02090379_91,500,375,3,redbone,102,330,11,374
491,491,n02085936_6071,500,334,3,maltese_dog,184,373,43,316
6968,6968,n02095314_289,200,185,3,wire-haired_fox_terrier,18,163,23,182
4509,4509,n02091467_4558,500,375,3,norwegian_elkhound,114,499,163,374
15174,15174,n02106166_2006,500,375,3,border_collie,0,298,42,373
7484,7484,n02095570_6222,500,375,3,lakeland_terrier,0,373,31,374
3367,3367,n02090622_266,343,500,3,borzoi,26,93,252,418
19482,19482,n02111500_3306,500,333,3,great_pyrenees,0,358,60,332
5009,5009,n02092002_10693,391,500,3,scottish_deerhound,20,389,6,498
18466,18466,n02110806_4280,500,375,3,basenji,135,317,4,264
871,871,n02086240_5316,500,375,3,shih-tzu,0,369,0,374
20523,20523,n02112706_781,250,245,3,brabancon_griffon,8,237,11,235
13775,13775,n02104365_4190,500,375,3,schipperke,0,399,1,373
11244,11244,n02093754_1111,500,421,3,border_terrier,0,305,1,410
21964,21964,n02116738_308,384,256,3,african_hunting_dog,59,174,75,219
2624,2624,n02088466_9167,500,375,3,bloodhound,186,352,156,315
4988,4988,n02091831_1512,500,307,3,saluki,0,363,16,306
14982,14982,n02106030_2471,401,500,3,collie,52,359,27,485
5563,5563,n02093256_626,400,301,3,staffordshire_bullterrier,97,348,63,300
14729,14729,n02105855_14509,358,360,3,shetland_sheepdog,3,299,33,359
21016,21016,n02113624_1576,500,375,3,toy_poodle,55,422,0,374
4898,4898,n02091831_4667,500,455,3,saluki,183,455,218,400
19923,19923,n02112018_6098,375,500,3,pomeranian,26,340,63,452
16081,16081,n02107574_445,333,500,3,greater_swiss_mountain_dog,146,235,267,463
971,971,n02086240_7954,500,333,3,shih-tzu,1,453,0,228
3556,3556,n02090721_1728,333,500,3,irish_wolfhound,86,270,40,498
1703,1703,n02087394_8935,500,333,3,rhodesian_ridgeback,87,228,37,332
4716,4716,n02091635_1058,350,189,3,otterhound,9,342,11,178
1151,1151,n02086646_3893,273,274,3,blenheim_spaniel,27,220,22,226
17357,17357,n02109047_2553,800,760,3,great_dane,125,701,93,703
19643,19643,n02111889_4147,250,170,3,samoyed,1,122,10,169
15378,15378,n02106550_12642,333,500,3,rottweiler,46,331,86,466
9252,9252,n02097658_1106,500,375,3,silky_terrier,0,284,99,361
21741,21741,n02115913_1224,500,375,3,dhole,120,411,132,255
14147,14147,n02105162_6513,500,333,3,malinois,159,237,50,266
20335,20335,n02112350_8849,500,357,3,keeshond,306,475,91,324
12776,12776,n02102040_2481,500,333,3,english_springer,7,341,28,332
16825,16825,n02108089_1159,500,333,3,boxer,133,499,56,332
4629,4629,n02091635_1147,375,343,3,otterhound,6,371,0,342
12203,12203,n02100877_5286,500,326,3,irish_setter,0,422,38,325
21959,21959,n02116738_288,132,200,3,african_hunting_dog,0,129,7,199
3129,3129,n02089973_3454,319,376,3,english_foxhound,20,233,18,360
5416,5416,n02092339_7499,500,383,3,weimaraner,56,313,57,381
4875,4875,n02091831_6114,500,335,3,saluki,103,405,61,312
21089,21089,n02113712_1572,240,218,3,miniature_poodle,32,221,6,211
15213,15213,n02106382_1598,250,376,3,bouvier_des_flandres,33,200,198,347
11745,11745,n02100735_216,290,241,3,english_setter,15,268,25,237
2804,2804,n02088632_4024,468,408,3,bluetick,43,416,85,354
13034,13034,n02102177_392,500,332,3,welsh_springer_spaniel,73,413,45,328
20651,20651,n02113023_6000,500,375,3,pembroke,145,357,2,342
996,996,n02086646_1126,500,500,3,blenheim_spaniel,101,386,15,477
19621,19621,n02111889_2029,375,500,3,samoyed,0,295,163,480
14425,14425,n02105505_3647,400,300,3,komondor,35,102,103,217
15801,15801,n02107142_9282,500,332,3,doberman,90,345,27,331
3878,3878,n02091032_551,500,375,3,italian_greyhound,43,470,47,373
11633,11633,n02105412_1920,500,375,3,kelpie,88,299,16,357
5718,5718,n02093428_5814,500,375,3,american_staffordshire_terrier,1,358,1,374
8710,8710,n02097209_1923,450,387,3,standard_schnauzer,88,449,6,386
13334,13334,n02102480_5792,640,250,3,sussex_spaniel,261,394,50,246
12949,12949,n02102177_1471,500,335,3,welsh_springer_spaniel,125,344,41,323
20031,20031,n02112137_11549,500,347,3,chow,16,473,2,346
20731,20731,n02113023_894,375,500,3,pembroke,81,303,147,493
4463,4463,n02091467_3055,500,375,3,norwegian_elkhound,11,499,10,374
497,497,n02085936_6514,500,333,3,maltese_dog,80,428,62,332
19691,19691,n02111889_7042,400,300,3,samoyed,57,217,13,297
4317,4317,n02091244_530,360,334,3,ibizan_hound,54,293,18,303
21598,21598,n02115641_1674,500,325,3,dingo,120,306,122,294
3591,3591,n02090721_3120,500,375,3,irish_wolfhound,103,377,18,373
6261,6261,n02093991_4396,500,375,3,irish_terrier,119,396,41,358
2879,2879,n02089078_2106,462,492,3,black-and-tan_coonhound,149,453,227,483
16944,16944,n02108089_836,500,333,3,boxer,0,499,0,331
4484,4484,n02091467_402,297,205,3,norwegian_elkhound,85,200,39,173
13514,13514,n02102973_4464,340,468,3,irish_water_spaniel,45,229,91,446
6369,6369,n02094114_3199,500,375,3,norfolk_terrier,132,342,106,318
17568,17568,n02109525_7579,361,500,3,saint_bernard,0,344,73,498
9229,9229,n02097474_6298,500,281,3,tibetan_terrier,92,360,7,279
3539,3539,n02090379_4683,375,500,3,redbone,25,282,0,386
4084,4084,n02091134_16541,500,500,3,whippet,17,428,50,490
20752,20752,n02113186_11014,336,341,3,cardigan,2,316,62,334
13645,13645,n02104029_3942,313,324,3,kuvasz,26,312,19,323
