id,filename,width,height,depth,name,xmin,xmax,ymin,ymax
69,n02085620_326,333,500,3,chihuahua,0,264,66,470
70,n02085620_3402,500,375,3,chihuahua,155,466,117,297
71,n02085620_3407,500,375,3,chihuahua,0,478,14,304
72,n02085620_3409,500,333,3,chihuahua,2,389,1,331
73,n02085620_1271,360,351,3,chihuahua,19,324,3,350
74,n02085620_1816,500,375,3,chihuahua,0,225,14,325
75,n02085620_2793,352,288,3,chihuahua,23,351,0,287
76,n02085620_3423,200,262,3,chihuahua,27,174,27,196
77,n02085620_3975,336,500,3,chihuahua,45,274,63,463
78,n02085620_4951,500,375,3,chihuahua,65,441,27,349
79,n02085620_712,500,375,3,chihuahua,98,349,61,325
80,n02085620_9351,500,375,3,chihuahua,139,359,12,327
81,n02085782_1284,640,479,3,japanese_spaniel,29,539,97,378
82,n02085782_1691,225,293,3,japanese_spaniel,24,202,114,268
83,n02085782_2,414,298,3,japanese_spaniel,74,347,36,253
84,n02085782_230,217,211,3,japanese_spaniel,64,201,50,193
85,n02085782_2939,600,449,3,japanese_spaniel,177,598,7,270
86,n02085782_3354,350,469,3,japanese_spaniel,15,319,91,394
87,n02085782_3889,450,390,3,japanese_spaniel,58,429,10,374
88,n02085782_4511,640,480,3,japanese_spaniel,68,559,33,428
89,n02085620_3485,320,319,3,chihuahua,25,282,9,315
90,n02085620_3488,500,375,3,chihuahua,78,424,67,326
91,n02085620_3593,200,229,3,chihuahua,2,199,7,227
92,n02085620_3651,500,375,3,chihuahua,152,275,216,370
93,n02085620_3677,500,375,3,chihuahua,67,499,24,308
94,n02085620_368,500,333,3,chihuahua,155,418,24,316
95,n02085620_3681,500,500,3,chihuahua,128,406,26,442
96,n02085620_3742,599,428,3,chihuahua,72,538,24,408
97,n02085620_3763,157,211,3,chihuahua,6,131,0,131
98,n02085620_382,500,375,3,chihuahua,134,361,24,373
99,n02085620_3826,500,333,3,chihuahua,2,454,0,332
100,n02085620_3838,468,344,3,chihuahua,75,349,2,324
101,n02085620_3875,500,333,3,chihuahua,125,340,14,332
102,n02085620_3877,333,500,3,chihuahua,0,331,17,498
103,n02085620_3880,359,500,3,chihuahua,1,281,63,498
104,n02085620_3928,500,375,3,chihuahua,75,399,21,374
105,n02085620_3942,478,500,3,chihuahua,10,440,11,498
106,n02085620_4016,640,480,3,chihuahua,2,629,8,478
107,n02085620_4159,500,333,3,chihuahua,167,287,78,319
108,n02085620_4207,500,333,3,chihuahua,19,464,16,317
109,n02085620_4266,500,375,3,chihuahua,0,285,0,374
110,n02085620_4290,351,500,3,chihuahua,36,290,155,458
111,n02085620_431,500,375,3,chihuahua,180,387,113,360
112,n02085620_4441,375,500,3,chihuahua,107,296,110,401
113,n02085620_4515,500,385,3,chihuahua,94,222,127,327
114,n02085620_4572,500,405,3,chihuahua,67,222,137,380
115,n02085620_4602,3264,2448,3,chihuahua,1230,2541,416,2441
116,n02085620_4673,500,375,3,chihuahua,85,300,78,373
117,n02085620_4700,375,500,3,chihuahua,30,372,32,498
118,n02085620_473,500,333,3,chihuahua,173,383,4,242
119,n02085620_473,500,333,3,chihuahua,43,251,146,319
120,n02085620_477,500,334,3,chihuahua,209,452,6,284
121,n02085620_4814,239,252,3,chihuahua,25,221,19,238
122,n02085620_4875,500,467,3,chihuahua,17,494,3,457
123,n02085620_4919,240,206,3,chihuahua,10,180,22,205
124,n02085620_4980,500,334,3,chihuahua,153,323,93,205
125,n02085620_4998,500,375,3,chihuahua,129,323,124,374
126,n02085620_500,500,375,3,chihuahua,8,432,87,340
127,n02085620_5093,280,420,3,chihuahua,70,230,91,360
128,n02085620_5312,500,374,3,chihuahua,42,499,11,373
129,n02085620_5496,500,333,3,chihuahua,0,284,9,332
130,n02085620_5661,500,375,3,chihuahua,114,253,180,311
131,n02085620_5661,500,375,3,chihuahua,176,422,42,286
132,n02085620_5713,500,405,3,chihuahua,158,482,14,403
133,n02085620_574,500,375,3,chihuahua,61,433,65,374
134,n02085620_575,500,377,3,chihuahua,112,286,49,327
135,n02085620_575,500,377,3,chihuahua,249,384,51,339
136,n02085620_5771,281,500,3,chihuahua,124,252,234,371
137,n02085620_588,334,500,3,chihuahua,78,321,117,473
138,n02085620_5927,360,300,3,chihuahua,30,236,14,298
139,n02085620_6295,338,500,3,chihuahua,70,179,148,430
140,n02085620_6399,300,225,3,chihuahua,107,235,70,147
141,n02085620_6931,500,333,3,chihuahua,96,380,87,332
142,n02085620_7,250,188,3,chihuahua,71,192,1,180
143,n02085620_7292,225,168,3,chihuahua,69,174,6,139
144,n02085620_730,500,375,3,chihuahua,177,347,134,367
145,n02085620_735,223,287,3,chihuahua,92,185,71,286
146,n02085620_7436,375,500,3,chihuahua,0,373,25,498
147,n02085620_7440,500,375,3,chihuahua,21,473,0,374
148,n02085620_7613,500,408,3,chihuahua,159,367,119,342
149,n02085620_7700,500,375,3,chihuahua,0,379,0,374
150,n02085620_7738,500,375,3,chihuahua,119,332,103,355
151,n02085620_806,800,534,3,chihuahua,189,464,288,483
152,n02085620_8420,500,332,3,chihuahua,53,312,68,249
153,n02085620_8491,400,359,3,chihuahua,17,386,17,342
154,n02085620_8558,215,214,3,chihuahua,49,171,35,154
155,n02085620_8578,500,353,3,chihuahua,62,336,35,323
156,n02085620_8585,500,332,3,chihuahua,125,321,9,267
157,n02085620_8611,332,332,3,chihuahua,105,254,12,266
158,n02085620_8636,500,375,3,chihuahua,45,204,130,262
159,n02085620_8637,500,375,3,chihuahua,143,457,46,301
160,n02085620_9357,500,319,3,chihuahua,63,418,90,248
161,n02085620_9399,500,375,3,chihuahua,149,286,74,249
162,n02085620_9414,500,375,3,chihuahua,42,343,0,281
163,n02085620_949,401,363,3,chihuahua,8,374,16,357
164,n02085620_952,416,530,3,chihuahua,107,370,29,498
165,n02085620_9654,461,500,3,chihuahua,0,420,36,498
166,n02085782_1039,500,375,3,japanese_spaniel,1,374,1,374
167,n02085782_1058,240,182,3,japanese_spaniel,82,169,53,127
168,n02085782_1059,550,413,3,japanese_spaniel,142,361,8,410
169,n02085782_1077,519,334,3,japanese_spaniel,27,505,36,316
170,n02085782_1085,260,331,3,japanese_spaniel,10,247,2,323
171,n02085782_1143,220,214,3,japanese_spaniel,30,211,3,210
172,n02085782_1156,640,480,3,japanese_spaniel,92,423,55,355
173,n02085782_1191,403,302,3,japanese_spaniel,133,304,52,297
174,n02085782_1224,210,210,3,japanese_spaniel,33,171,28,185
175,n02085782_126,437,382,3,japanese_spaniel,43,388,27,346
176,n02085782_1267,150,103,3,japanese_spaniel,13,139,5,98
177,n02085782_1348,600,448,3,japanese_spaniel,2,454,113,379
178,n02085782_1350,332,218,3,japanese_spaniel,90,205,16,131
179,n02085782_1353,320,240,3,japanese_spaniel,116,299,25,239
180,n02085782_1401,190,168,3,japanese_spaniel,16,177,12,150
181,n02085782_1425,125,100,3,japanese_spaniel,10,118,2,99
182,n02085782_143,250,269,3,japanese_spaniel,0,249,6,268
183,n02085782_1434,320,343,3,japanese_spaniel,7,290,24,319
184,n02085782_1460,358,370,3,japanese_spaniel,94,305,31,351
185,n02085782_1503,216,288,3,japanese_spaniel,26,185,22,287
186,n02085782_1521,191,178,3,japanese_spaniel,2,189,3,169
187,n02085782_1528,301,271,3,japanese_spaniel,55,274,13,270
188,n02085782_1552,180,230,3,japanese_spaniel,0,155,8,229
189,n02085782_1600,500,436,3,japanese_spaniel,0,294,90,434
190,n02085782_1600,500,436,3,japanese_spaniel,65,494,5,385
191,n02085782_1610,250,197,3,japanese_spaniel,10,248,11,188
192,n02085782_1626,619,495,3,japanese_spaniel,24,542,17,481
193,n02085782_1656,230,161,3,japanese_spaniel,7,220,5,154
194,n02085782_1665,300,225,3,japanese_spaniel,116,182,24,94
195,n02085782_17,393,425,3,japanese_spaniel,48,367,102,367
196,n02085782_172,200,150,3,japanese_spaniel,19,199,22,143
197,n02085782_1724,500,375,3,japanese_spaniel,56,499,22,374
198,n02085782_1731,600,449,3,japanese_spaniel,23,598,0,435
199,n02085782_1750,500,375,3,japanese_spaniel,91,483,55,346
200,n02085782_1764,400,322,3,japanese_spaniel,29,370,30,289
201,n02085782_1774,143,225,3,japanese_spaniel,0,141,28,149
202,n02085782_1778,640,480,3,japanese_spaniel,30,392,103,379
203,n02085782_1782,300,266,3,japanese_spaniel,1,292,5,257
204,n02085782_1836,800,600,3,japanese_spaniel,192,625,40,597
205,n02085782_1848,600,450,3,japanese_spaniel,68,598,1,448
206,n02085782_1855,421,405,3,japanese_spaniel,47,362,17,401
207,n02085782_186,250,333,3,japanese_spaniel,10,196,25,280
208,n02085782_1890,180,180,3,japanese_spaniel,18,157,14,171
209,n02085782_191,300,233,3,japanese_spaniel,34,276,15,225
210,n02085782_1929,300,225,3,japanese_spaniel,71,192,2,223
211,n02085782_1949,288,232,3,japanese_spaniel,15,253,30,223
212,n02085782_1964,640,558,3,japanese_spaniel,4,561,33,545
213,n02085782_2010,300,237,3,japanese_spaniel,99,161,75,161
214,n02085782_2010,300,237,3,japanese_spaniel,193,266,27,145
215,n02085782_2010,300,237,3,japanese_spaniel,140,207,42,139
216,n02085782_2014,180,220,3,japanese_spaniel,21,179,7,219
217,n02085782_2045,378,303,3,japanese_spaniel,4,377,7,285
218,n02085782_2074,435,293,3,japanese_spaniel,84,327,36,277
219,n02085782_2100,442,277,3,japanese_spaniel,242,439,48,222
220,n02085782_2100,442,277,3,japanese_spaniel,1,284,3,276
221,n02085782_2118,300,290,3,japanese_spaniel,64,268,30,260
222,n02085782_2128,473,355,3,japanese_spaniel,1,391,1,354
223,n02085782_2162,180,138,3,japanese_spaniel,22,160,5,130
224,n02085782_2182,400,295,3,japanese_spaniel,23,392,7,276
225,n02085782_2207,375,316,3,japanese_spaniel,64,212,7,239
226,n02085782_2207,375,316,3,japanese_spaniel,199,340,32,241
227,n02085782_2241,362,429,3,japanese_spaniel,60,302,32,396
228,n02085782_2250,600,800,3,japanese_spaniel,6,598,0,792
229,n02085782_2255,320,280,3,japanese_spaniel,28,273,13,251
230,n02085782_2269,320,240,3,japanese_spaniel,98,252,43,226
231,n02085782_2279,250,211,3,japanese_spaniel,50,203,5,206
232,n02085782_2293,148,171,3,japanese_spaniel,8,146,2,166
233,n02085782_23,320,379,3,japanese_spaniel,73,255,24,255
234,n02085782_2978,476,331,3,japanese_spaniel,74,252,11,283
235,n02085782_3019,240,184,3,japanese_spaniel,57,122,55,178
236,n02085782_3021,600,467,3,japanese_spaniel,2,567,18,464
237,n02085782_3030,640,713,3,japanese_spaniel,103,563,76,582
238,n02085782_3031,150,170,3,japanese_spaniel,5,114,34,144
239,n02085782_3052,432,365,3,japanese_spaniel,42,378,28,347
240,n02085782_3065,150,132,3,japanese_spaniel,1,149,1,131
241,n02085782_3071,180,148,3,japanese_spaniel,87,162,15,147
242,n02085782_3071,180,148,3,japanese_spaniel,0,92,8,115
243,n02085782_309,200,185,3,japanese_spaniel,23,199,7,184
244,n02085782_3098,350,337,3,japanese_spaniel,146,332,16,280
245,n02085782_3121,290,321,3,japanese_spaniel,13,279,12,302
246,n02085782_313,400,341,3,japanese_spaniel,39,381,16,340
247,n02085782_3148,600,801,3,japanese_spaniel,101,597,131,798
248,n02085782_3158,817,429,3,japanese_spaniel,9,334,11,421
249,n02085782_3158,817,429,3,japanese_spaniel,385,804,76,371
250,n02085782_3215,300,271,3,japanese_spaniel,24,283,43,216
251,n02085782_3325,600,449,3,japanese_spaniel,65,538,4,446
252,n02085782_3331,275,297,3,japanese_spaniel,39,220,69,246
253,n02085782_3896,200,200,3,japanese_spaniel,0,183,1,199
254,n02085782_3899,200,200,3,japanese_spaniel,0,199,29,193
255,n02085782_3966,307,293,3,japanese_spaniel,19,262,14,279
256,n02085782_3979,717,600,3,japanese_spaniel,207,672,178,508
257,n02085782_3990,218,207,3,japanese_spaniel,23,205,20,197
258,n02085782_4042,441,397,3,japanese_spaniel,9,433,30,385
259,n02085782_4208,220,300,3,japanese_spaniel,13,175,44,243
260,n02085782_4269,200,150,3,japanese_spaniel,27,154,22,133
261,n02085782_4294,368,317,3,japanese_spaniel,51,344,26,304
262,n02085782_4332,600,450,3,japanese_spaniel,138,530,36,448
263,n02085782_435,200,180,3,japanese_spaniel,19,171,18,167
264,n02085782_4351,335,300,3,japanese_spaniel,66,323,49,262
265,n02085782_4365,600,530,3,japanese_spaniel,13,589,17,520
266,n02085782_440,250,250,3,japanese_spaniel,0,220,37,249
267,n02085782_4436,598,701,3,japanese_spaniel,70,596,7,699
268,n02085782_4438,216,232,3,japanese_spaniel,40,184,26,217
269,n02085782_4458,341,282,3,japanese_spaniel,66,282,36,238
270,n02085782_4564,200,168,3,japanese_spaniel,26,199,24,166
271,n02085782_4574,200,150,3,japanese_spaniel,57,176,20,120
272,n02085782_4579,500,375,3,japanese_spaniel,176,392,78,288
273,n02085782_4590,375,500,3,japanese_spaniel,50,280,133,447
274,n02085782_4616,435,328,3,japanese_spaniel,121,339,63,244
275,n02085782_4698,400,369,3,japanese_spaniel,177,395,117,329
276,n02085782_4698,400,369,3,japanese_spaniel,6,192,99,368
277,n02085782_4698,400,369,3,japanese_spaniel,67,237,5,209
278,n02085782_4772,600,449,3,japanese_spaniel,0,564,101,377
279,n02085782_4780,232,300,3,japanese_spaniel,30,168,80,266
280,n02085782_4798,325,340,3,japanese_spaniel,53,249,21,274
281,n02085782_50,250,423,3,japanese_spaniel,30,223,25,398
282,n02085782_516,230,216,3,japanese_spaniel,19,212,8,215
283,n02085782_518,120,120,3,japanese_spaniel,0,119,0,119
284,n02085782_564,290,290,3,japanese_spaniel,43,239,20,284
285,n02085782_572,600,800,3,japanese_spaniel,166,528,232,750
286,n02085782_593,465,576,3,japanese_spaniel,41,430,54,524
287,n02085782_622,130,122,3,japanese_spaniel,5,129,9,116
288,n02085782_626,150,150,3,japanese_spaniel,1,149,0,149
289,n02085782_3387,538,450,3,japanese_spaniel,63,483,50,425
290,n02085782_3400,200,183,3,japanese_spaniel,0,197,0,179
291,n02085782_3404,190,174,3,japanese_spaniel,32,153,19,161
292,n02085782_3420,210,210,3,japanese_spaniel,0,209,27,181
293,n02085782_3481,410,317,3,japanese_spaniel,8,404,2,316
294,n02085782_3499,240,240,3,japanese_spaniel,41,209,40,218
295,n02085782_3516,410,281,3,japanese_spaniel,190,380,69,279
296,n02085782_3516,410,281,3,japanese_spaniel,22,219,29,205
297,n02085782_3578,375,500,3,japanese_spaniel,1,335,63,332
298,n02085782_3649,358,424,3,japanese_spaniel,3,355,4,422
299,n02085782_3720,567,452,3,japanese_spaniel,36,542,28,409
300,n02085782_3727,426,284,3,japanese_spaniel,49,272,25,250
301,n02085782_3744,398,550,3,japanese_spaniel,22,370,117,522
302,n02085782_3781,600,449,3,japanese_spaniel,71,598,97,434
303,n02085782_38,186,207,3,japanese_spaniel,1,161,6,199
304,n02085782_381,350,303,3,japanese_spaniel,16,329,28,296
305,n02085782_3810,287,350,3,japanese_spaniel,8,286,1,349
306,n02085782_382,406,400,3,japanese_spaniel,8,394,8,390
307,n02085782_385,237,250,3,japanese_spaniel,35,218,57,217
308,n02085782_3855,460,447,3,japanese_spaniel,32,327,20,395
309,n02085782_3870,196,260,3,japanese_spaniel,8,195,1,259
310,n02085782_2323,200,150,3,japanese_spaniel,13,185,24,131
311,n02085782_2345,500,421,3,japanese_spaniel,2,460,28,419
312,n02085782_2354,600,449,3,japanese_spaniel,16,350,1,346
313,n02085782_2428,600,800,3,japanese_spaniel,18,586,22,798
314,n02085782_2459,515,446,3,japanese_spaniel,30,478,23,427
315,n02085782_2491,386,291,3,japanese_spaniel,51,342,15,281
316,n02085782_2549,350,369,3,japanese_spaniel,30,328,11,367
317,n02085782_2584,600,449,3,japanese_spaniel,0,582,57,447
318,n02085782_2635,640,480,3,japanese_spaniel,0,414,51,416
319,n02085782_2635,640,480,3,japanese_spaniel,304,638,201,478
320,n02085782_2640,400,266,3,japanese_spaniel,22,381,21,253
321,n02085782_2655,385,391,3,japanese_spaniel,11,376,8,384
322,n02085782_267,461,371,3,japanese_spaniel,65,384,65,344
323,n02085782_2690,530,397,3,japanese_spaniel,9,524,4,393
324,n02085782_2695,399,255,3,japanese_spaniel,153,303,52,215
325,n02085782_2695,399,255,3,japanese_spaniel,39,158,33,187
326,n02085782_2715,480,600,3,japanese_spaniel,62,432,77,539
327,n02085782_2762,331,342,3,japanese_spaniel,58,307,67,298
328,n02085782_2796,385,391,3,japanese_spaniel,6,375,10,384
329,n02085782_28,375,283,3,japanese_spaniel,22,322,7,261
330,n02085782_2874,373,373,3,japanese_spaniel,67,283,54,329
331,n02085782_2886,350,272,3,japanese_spaniel,205,321,20,221
332,n02085782_2886,350,272,3,japanese_spaniel,27,210,57,266
333,n02085782_2914,600,448,3,japanese_spaniel,197,450,196,389
334,n02085782_2914,600,448,3,japanese_spaniel,190,301,90,166
335,n02085782_2914,600,448,3,japanese_spaniel,273,438,57,189
336,n02085782_2922,200,200,3,japanese_spaniel,7,196,7,193
337,n02085782_665,300,225,3,japanese_spaniel,53,223,27,179
338,n02085782_668,450,365,3,japanese_spaniel,57,395,36,363
339,n02085782_676,275,371,3,japanese_spaniel,35,237,29,330
340,n02085782_697,600,449,3,japanese_spaniel,131,598,169,404
341,n02085782_698,269,292,3,japanese_spaniel,12,256,5,284
342,n02085782_725,600,449,3,japanese_spaniel,180,551,76,386
343,n02085782_749,360,254,3,japanese_spaniel,141,348,15,252
344,n02085782_749,360,254,3,japanese_spaniel,9,159,24,253
345,n02085782_754,216,324,3,japanese_spaniel,27,202,43,306
346,n02085782_757,200,191,3,japanese_spaniel,52,170,3,180
347,n02085782_80,350,278,3,japanese_spaniel,1,349,25,221
348,n02085782_806,220,220,3,japanese_spaniel,24,219,15,219
349,n02085782_810,218,178,3,japanese_spaniel,8,217,8,177
350,n02085782_82,480,427,3,japanese_spaniel,44,460,25,386
351,n02085782_845,200,309,3,japanese_spaniel,17,197,116,270
352,n02085782_866,250,320,3,japanese_spaniel,25,241,34,292
353,n02085782_874,277,232,3,japanese_spaniel,31,276,22,231
354,n02085782_919,600,470,3,japanese_spaniel,17,567,96,452
355,n02085782_940,600,618,3,japanese_spaniel,41,598,150,616
356,n02085782_962,227,204,3,japanese_spaniel,63,193,25,193
357,n02085936_10073,500,375,3,maltese_dog,111,430,21,374
358,n02085936_10130,500,375,3,maltese_dog,153,476,71,374
359,n02085936_10148,500,375,3,maltese_dog,170,364,90,339
360,n02085936_10197,500,375,3,maltese_dog,22,498,86,374
361,n02085936_10199,500,375,3,maltese_dog,63,499,19,327
362,n02085936_10273,500,334,3,maltese_dog,133,410,0,333
363,n02085936_10297,375,500,3,maltese_dog,16,362,57,442
364,n02085936_10307,500,375,3,maltese_dog,173,329,28,248
365,n02085936_10377,500,333,3,maltese_dog,51,321,0,328
366,n02085936_10397,500,375,3,maltese_dog,138,375,82,333
367,n02085936_10447,500,421,3,maltese_dog,211,392,77,415
368,n02085936_10610,500,375,3,maltese_dog,181,411,27,290
369,n02085936_10610,500,375,3,maltese_dog,3,216,0,373
370,n02085936_10625,500,375,3,maltese_dog,164,313,70,276
371,n02085936_10646,300,295,3,maltese_dog,16,281,2,294
372,n02085936_10661,500,375,3,maltese_dog,124,435,25,374
373,n02085936_11541,500,332,3,maltese_dog,84,409,54,314
374,n02085936_1155,500,333,3,maltese_dog,31,366,23,263
375,n02085936_11653,500,412,3,maltese_dog,114,379,16,410
376,n02085936_11744,500,375,3,maltese_dog,0,203,92,374
377,n02085936_1244,500,333,3,maltese_dog,69,358,78,309
378,n02085936_1247,333,500,3,maltese_dog,96,322,187,462
379,n02085936_126,375,500,3,maltese_dog,81,330,210,498
380,n02085936_1288,500,334,3,maltese_dog,124,383,15,333
381,n02085936_13013,500,374,3,maltese_dog,133,419,18,308
382,n02085936_1325,480,360,3,maltese_dog,73,429,48,359
383,n02085936_13378,500,332,3,maltese_dog,1,367,39,329
384,n02085936_137,250,250,3,maltese_dog,16,238,21,217
385,n02085936_1390,500,333,3,maltese_dog,19,424,0,332
386,n02085936_13944,322,385,3,maltese_dog,1,161,192,345
387,n02085936_1424,500,375,3,maltese_dog,172,307,68,251
388,n02085936_14432,374,500,3,maltese_dog,36,307,95,398
389,n02085936_14595,500,375,3,maltese_dog,0,463,47,299
390,n02085936_19731,500,375,3,maltese_dog,212,446,53,325
391,n02085936_19805,375,500,3,maltese_dog,0,373,1,497
392,n02085936_20076,500,375,3,maltese_dog,44,427,5,374
393,n02085936_20102,500,426,3,maltese_dog,91,428,12,295
394,n02085936_2020,500,301,3,maltese_dog,279,466,65,271
395,n02085936_2020,500,301,3,maltese_dog,23,184,84,275
396,n02085936_20313,500,375,3,maltese_dog,4,406,40,374
397,n02085936_20610,333,500,3,maltese_dog,67,284,111,433
398,n02085936_21320,500,375,3,maltese_dog,0,494,40,374
399,n02085936_2135,500,400,3,maltese_dog,205,302,137,276
400,n02085936_2154,299,395,3,maltese_dog,42,258,72,387
401,n02085936_2167,360,304,3,maltese_dog,33,293,22,303
402,n02085936_2203,378,500,3,maltese_dog,32,287,46,398
403,n02085936_22127,500,500,3,maltese_dog,6,423,31,498
404,n02085936_22167,500,375,3,maltese_dog,203,496,11,372
405,n02085936_22439,500,375,3,maltese_dog,11,385,61,317
406,n02085936_22666,500,399,3,maltese_dog,45,217,161,392
407,n02085936_2318,500,375,3,maltese_dog,108,310,92,374
408,n02085936_3000,500,375,3,maltese_dog,142,499,121,329
409,n02085936_3108,500,375,3,maltese_dog,216,346,212,353
410,n02085936_3207,375,500,3,maltese_dog,38,371,47,376
411,n02085936_3217,500,333,3,maltese_dog,106,382,51,332
412,n02085936_3239,500,409,3,maltese_dog,103,445,94,395
413,n02085936_3292,500,375,3,maltese_dog,0,270,179,351
414,n02085936_3292,500,375,3,maltese_dog,122,361,128,326
415,n02085936_3313,299,396,3,maltese_dog,21,249,10,371
416,n02085936_3315,500,375,3,maltese_dog,38,493,45,374
417,n02085936_3326,500,375,3,maltese_dog,178,373,13,317
418,n02085936_3348,375,500,3,maltese_dog,103,267,51,427
419,n02085936_338,500,375,3,maltese_dog,163,335,133,304
420,n02085936_3391,500,375,3,maltese_dog,166,400,52,286
421,n02085936_3394,500,375,3,maltese_dog,0,315,7,311
422,n02085936_3396,500,332,3,maltese_dog,95,410,21,328
423,n02085936_3451,455,500,3,maltese_dog,35,436,35,498
424,n02085936_3470,500,333,3,maltese_dog,129,353,8,249
425,n02085936_352,500,375,3,maltese_dog,143,328,82,331
426,n02085936_3677,333,500,3,maltese_dog,0,324,111,498
427,n02085936_3678,480,361,3,maltese_dog,108,479,109,360
428,n02085936_3698,480,360,3,maltese_dog,148,479,1,359
429,n02085936_37,500,375,3,maltese_dog,148,402,13,336
430,n02085936_3863,500,375,3,maltese_dog,257,465,136,374
431,n02085936_3863,500,375,3,maltese_dog,32,272,146,374
432,n02085936_3947,500,375,3,maltese_dog,0,332,26,340
433,n02085936_3994,441,500,3,maltese_dog,7,420,26,488
434,n02085936_4004,400,500,3,maltese_dog,11,396,25,498
435,n02085936_4070,375,500,3,maltese_dog,85,337,77,496
436,n02085936_4188,500,322,3,maltese_dog,21,374,2,321
437,n02085936_4192,500,375,3,maltese_dog,179,386,2,311
438,n02085936_420,500,375,3,maltese_dog,0,499,53,374
439,n02085936_4245,500,500,3,maltese_dog,95,381,16,470
440,n02085936_4257,500,375,3,maltese_dog,0,463,80,326
441,n02085936_426,500,375,3,maltese_dog,122,499,69,374
442,n02085936_4262,500,333,3,maltese_dog,149,377,57,332
443,n02085936_4271,500,375,3,maltese_dog,69,475,1,374
